Authors,Year,Title,Journal,Type of Study,Main Findings
"Ramirez, et al.",2020,Telemedicine in Minority and Socioeconomically Disadvantaged Communities Amidst COVID-19 Pandemic,NCBI,Literature Review,Cultural views influence attitudes; minorities chose Telehealth due to linguistic/economic barriers to in-person care.
"Rush, et al.",2022,Telehealth Use for Enhancing the Health of Rural Older Adults: A Systematic Mixed Studies Review,NCBI,Systemic Review,Telehealth is a cost-efficient method for rural healthcare compared to traditional consultations.
"Ramsey, et al.",2023,Children with uncontrolled asthma from economically disadvantaged neighborhoods...,NCBI,Literature Review,60-70% of children with asthma miss appointments due to transport; Telehealth enables home-based treatment.
Jaffe et al.,2020,Health Inequalities in the Use of Telehealth in the United States in the Lens of COVID-19,NCBI,Literature review,Majority were mental health seekers; rural use lower than urban; 845% surge in outpatient Telehealth during COVID.
Schwamm et al.,2014,Telehealth: Seven Strategies To Successfully Implement Disruptive Technology,Health affairs,Literature Review,"7 success strategies: patient/provider expectations, revenue models, deconstructing traditional care, etc."
Bowman et al.,2022,"The “Telehealth Divide”—Who Are the Underserved, and What Care Is Improved?",JABFM,Systematic Review,"Examines racial disparities in wellness, visits, drug safety, and medical abortion post-pandemic."
Glassman Paul,2012,Using Telehealth Technologies to Improve Oral Health for Vulnerable...,JCDA,Literature Review,Emerging evidence that telehealth enhances oral health delivery for vulnerable/underserved populations.
Ghaddar Suad,2020,Understanding the Intention to Use Telehealth Services in Underserved Hispanic Border Communities,JMIR,Systematic Review,Measured attitudes at Texas-Mexico border; Telehealth literacy fosters positive feelings toward the service.
Jewitt et al.,2021,Telehealth: Reducing or increasing cancer care disparities?,JCO,Systematic Review,Shows disparities among historically underserved cancer patients of varying ethnicities and ages.
Flack Paul et al.,2004,Addressing Mental Health needs of the rural underserved,Contemporary Family Therapy,Literature Review,Mental health services effectively delivered via distance tech; requires tech accommodations for both parties.
Marcin et al.,2015,Addressing health disparities in rural communities using telehealth,Pediatric Research,Literature Review,Improves satisfaction and reduces costs; addresses geographic maldistribution of pediatric specialists.
Bailey et al.,2021,Early Patient-Centered Outcomes Research Experience With the Use of Telehealth to Address Disparities,JMIR,Literature Review,Disparities reduced by patient-centered care and strong provider-patient connections.
Chambers et al.,2012,A cross-sectional survey and service evaluation of simple telehealth in primary care,BMJ,Systematic Review,High satisfaction; easy to use; schedule flexibility and improved hypertension education in general population.
Ahmed et al.,2015,Portable Health Clinic: A Telehealthcare System for UnReached Communities,SpringerLink,Original research,Successful in Bangladesh for NCDs/aging; reduces morbidity; drawback: cannot handle communicable diseases.
Sammy Le et al.,2021,The application of telehealth to remote and rural Australians with chronic neurological conditions,Wiley,Original research,Rural Australians highly satisfied; 100% would recommend; beneficial for chronic conditions without re-exam.
Hochman et al.,2000,Cardiogenic shock complicating acute myocardial infarction--etiologies...,Elsevier,Original research,Smartphone-paired ECG/Echo in Zimbabwe; data sent to US specialists; identified CVD in high-risk populations.
Thota et al.,2020,Telehealth is a Sustainable Population Health Strategy to Lower Costs...,ASCO,Original research,"Saves time/money for rural Utah patients; barriers include staffing, training, and maintenance."
Vadheim et al.,2017,Telehealth delivery of the diabetes prevention program to rural communities,Oxford Academic,Original research,Comparable results to on-site programs in weight loss/participation for rural communities.
Moffatt & Eley,2010,The reported benefits of telehealth for rural Australians,CSIRO Publishing,Original research,Potential to reduce access lack in rural Australia; requires practitioner upskilling for implementation.
